year,county,countyfip,state,realIncWage,gini,pctTechnicalWorker,pctFemaleWorker,unemployementRate,realIncWageRat90_10,realIncWageRat_cg_hs,laborSupply_hl,fmWageRat
1996,Alameda,6001,California,58976,.302,.1,.404,.074,4.027,1.671,1.314,.758
1997,Alameda,6001,California,60046,.316,.092,.406,.075,4.271,1.662,1.302,.739
1998,Alameda,6001,California,60687,.33,.087,.407,.074,4.535,1.698,1.294,.752
1999,Alameda,6001,California,62359,.354,.07,.413,.039,4.861,1.746,1.307,.757
2000,Alameda,6001,California,63254,.365,.077,.42,.037,5.101,1.81,1.265,.766
2001,Alameda,6001,California,64247,.376,.087,.421,.028,5.396,1.803,1.265,.777
2002,Alameda,6001,California,65011,.382,.095,.423,.07,5.596,1.874,1.224,.8070000000000001
2003,Alameda,6001,California,66168,.38,.105,.424,.062,5.677000000000001,1.916,1.221,.8190000000000001
2004,Alameda,6001,California,67264,.381,.117,.421,.062,5.759,1.928,1.217,.835
2005,Alameda,6001,California,68275,.389,.119,.418,.056,5.919000000000001,2.038,1.213,.847
2006,Alameda,6001,California,69187,.389,.122,.419,.066,5.891,2.173,1.224,.859
2007,Alameda,6001,California,70006,.386,.128,.421,.046,5.782,2.188,1.307,.866
2008,Alameda,6001,California,70276,.389,.132,.423,.039,5.673,2.257,1.353,.865
2009,Alameda,6001,California,70546,.387,.134,.428,.102,5.753,2.321,1.397,.863
2010,Alameda,6001,California,70431,.38,.138,.431,.108,5.833,2.257,1.44,.865
2011,Alameda,6001,California,70280,.384,.139,.434,.135,6.022,2.253,1.449,.861
2012,Alameda,6001,California,68424,.381,.137,.436,.104,6.074,2.204,1.428,.871
2013,Alameda,6001,California,67932,.379,.136,.438,.097,6.229,2.157,1.416,.876
2014,Alameda,6001,California,67113,.376,.135,.437,.091,6.171,2.085,1.4,.883
1996,Butte,6007,California,43748,.348,0,.476,.089,3.819,3.282,.535,.59
1997,Butte,6007,California,42794,.353,0,.462,.273,4.121,3.097,.535,.63
1998,Butte,6007,California,42221,.356,0,.46,.04,4.303,2.986,.535,.673
1999,Butte,6007,California,41240,.359,.005,.442,.107,4.656,2.76,.5530000000000001,.733
2000,Butte,6007,California,40259,.362,.01,.439,.121,5.036000000000001,2.535,.5540000000000001,.776
2001,Butte,6007,California,39934,.366,.016,.452,.031,5.566,2.532,.6,.786
2002,Butte,6007,California,40372,.365,.021,.472,.075,5.989,2.529,.642,.765
2003,Butte,6007,California,41149,.378,.026,.472,.071,6.411000000000001,2.778,.669,.723
2004,Butte,6007,California,42095,.391,.027,.476,.094,6.834000000000001,3.03,.6960000000000001,.6820000000000001
2005,Butte,6007,California,43041,.403,.021,.48,.039,7.115,3.282,.6990000000000001,.659
2006,Butte,6007,California,43983,.396,.016,.46,.05,6.623,3.245,.6820000000000001,.6860000000000001
2007,Butte,6007,California,44491,.382,.011,.435,.05,6.069,3.209,.66,.751
2008,Butte,6007,California,44660,.356,.006,.423,.061,5.516,2.797,.658,.8180000000000001
2009,Butte,6007,California,44645,.335,0,.426,.083,5.109,2.386,.644,.867
2010,Butte,6007,California,44630,.313,0,.43,.093,4.669000000000001,1.974,.642,.908
2011,Butte,6007,California,44482,.312,.011,.446,.094,4.831,1.851,.709,.893
2012,Butte,6007,California,44035,.316,.028,.472,.1,4.701000000000001,1.738,.8030000000000001,.859
2013,Butte,6007,California,43878,.32,.035,.492,.188,4.782,1.74,.839,.8310000000000001
2014,Butte,6007,California,43643,.319,.047,.498,.122,4.673,1.744,.919,.8150000000000001
1996,Contra Costa,6013,California,71546,.378,.128,.394,.031,5.136,2.282,1.753,.663
1997,Contra Costa,6013,California,71545,.38,.126,.396,.027,5.309,2.307,1.739,.648
1998,Contra Costa,6013,California,71618,.388,.122,.4,.05,5.392,2.344,1.732,.629
1999,Contra Costa,6013,California,72353,.396,.116,.402,.038,5.656,2.389,1.669,.605
2000,Contra Costa,6013,California,73092,.405,.111,.413,.033,5.704,2.434,1.623,.58
2001,Contra Costa,6013,California,74811,.412,.109,.418,.024,5.622,2.469,1.586,.5600000000000001
2002,Contra Costa,6013,California,75551,.403,.106,.438,.055,5.414,2.469,1.519,.5520000000000001
2003,Contra Costa,6013,California,77196,.421,.095,.46,.072,5.492,2.974,1.381,.514
2004,Contra Costa,6013,California,77686,.422,.093,.47,.07,5.434,3.094,1.349,.503
2005,Contra Costa,6013,California,78503,.422,.088,.484,.076,5.44,3.296,1.295,.485
1996,El Dorado,6017,California,47749,.393,.071,.31,.04,6.25,2.013,.505,.581
1997,El Dorado,6017,California,45350,.379,.071,.321,.048,5.988,2.008,.478,.5640000000000001
1998,El Dorado,6017,California,43911,.377,.075,.342,.083,6.047,1.926,.461,.5640000000000001
1999,El Dorado,6017,California,41404,.364,.079,.384,.133,5.837,1.803,.427,.54
2000,El Dorado,6017,California,41061,.357,.088,.379,.042,5.845,1.694,.399,.5550000000000001
2001,El Dorado,6017,California,42943,.343,.111,.374,.059,5.595,1.584,.432,.5700000000000001
2002,El Dorado,6017,California,44435,.337,.134,.375,.1,5.555,1.487,.468,.585
2003,El Dorado,6017,California,46330,.325,.154,.363,.154,5.297,1.467,.504,.618
