year,state,statefip,stateAbbrev,realIncWage,gini,pctTechnicalWorker,pctFemaleWorker,unemployementRate,realIncWageRat90_10,realIncWageRat_cg_hs,laborSupply_hl,fmWageRat
1980,Alabama,1,AL,33793,.323,.033,.36,.069,4.575,1.543,.321,.608
1981,Alabama,1,AL,34164,.324,.033,.379,.081,4.558,1.532,.329,.598
1982,Alabama,1,AL,35379,.324,.034,.372,.118,4.547,1.532,.335,.5710000000000001
1983,Alabama,1,AL,36599,.325,.035,.385,.131,4.544000000000001,1.51,.345,.5630000000000001
1984,Alabama,1,AL,36943,.327,.037,.377,.104,4.587,1.559,.356,.617
1985,Alabama,1,AL,36784,.327,.038,.396,.093,4.63,1.589,.362,.61
1986,Alabama,1,AL,38629,.328,.039,.392,.104,4.629,1.659,.365,.5530000000000001
1987,Alabama,1,AL,37048,.328,.038,.408,.083,4.628,1.7,.367,.5700000000000001
1988,Alabama,1,AL,36684,.328,.037,.398,.068,4.588,1.728,.367,.647
1989,Alabama,1,AL,34854,.327,.035,.429,.065,4.514,1.728,.374,.664
1990,Alabama,1,AL,34921,.326,.033,.446,.059,4.441,1.739,.398,.65
1991,Alabama,1,AL,34983,.325,.034,.41,.08,4.474,1.718,.425,.6990000000000001
1992,Alabama,1,AL,35757,.326,.032,.449,.08,4.508,1.723,.457,.704
1993,Alabama,1,AL,36568,.328,.033,.433,.075,4.478,1.74,.505,.645
1994,Alabama,1,AL,36568,.33,.036,.432,.058,4.508,1.756,.549,.666
1995,Alabama,1,AL,40621,.333,.036,.422,.051,4.499,1.761,.581,.624
1996,Alabama,1,AL,39682,.335,.036,.465,.056,4.428,1.767,.609,.653
1997,Alabama,1,AL,40178,.336,.039,.508,.043,4.395000000000001,1.768,.632,.6830000000000001
1998,Alabama,1,AL,42317,.336,.04,.487,.041,4.441,1.77,.653,.708
1999,Alabama,1,AL,45088,.338,.04,.44,.045,4.479,1.771,.671,.6910000000000001
2000,Alabama,1,AL,41805,.341,.043,.461,.037,4.589,1.774,.6880000000000001,.717
2001,Alabama,1,AL,45060,.346,.047,.454,.05,4.704,1.798,.705,.663
2002,Alabama,1,AL,49033,.352,.051,.458,.067,4.781,1.821,.722,.665
2003,Alabama,1,AL,47951,.357,.053,.448,.057,4.864,1.844,.713,.642
2004,Alabama,1,AL,48586,.361,.053,.451,.056,4.926,1.871,.704,.654
2005,Alabama,1,AL,47080,.364,.052,.451,.039,4.931,1.911,.6920000000000001,.712
2006,Alabama,1,AL,47965,.366,.052,.454,.041,4.954,1.931,.6790000000000001,.658
